KEY,English,Chinese,Vietnamese,German,Spanish,French,Russian,Portuguese,Italian,Korean,Turkish
Location_International,International,全球,Quốc Tế,International,Internacional,International,Международный,Internacional,Internazionale,International,
Location_Algeria,Algeria,阿尔及利亚,Algeria,Algerien,Argelia,Algérie,Алжир,Argélia,Algeria,Algeria,
Location_Argentina,Argentina,阿根廷,Argentina,Argentinien,Argentina,Argentine,Аргентина,Argentina,Argentina,Argentina,
Location_Austraila,Austraila,澳大利亚,Úc,Australien,Australia,Australie,Австралия,Austrália,Australia,Austraila,
Location_Austria,Austria,奥地利,Áo,Österreich,Austria,Autriche,Австрия,Áustria,Austria,Austria,
Location_Azerbaijan,Azerbaijan,阿塞拜疆,Azerbaijan,Aserbaidschan,Azerbaiyán,Azerbaïdjan,Азербайджан,Azerbaijão,Azerbaigian,Azerbaijan,
Location_Bahrain,Bahrain,巴林,Bahrain,Bahrain,Bahréin,Bahreïn,Бахрейн,Bahrein,Bahrein,Bahrain,
Location_Bangladesh,Bangladesh,孟加拉国,Bangladesh,Bangladesch,Bangladés,Bangladesh,Бангладеш,Bangladesh,Bangladesh,Bangladesh,
Location_Belarus,Belarus,白俄罗斯,Belarus,Weißrussland,Bielorrusia,Biélorussie,Беларусь,Belarus,Bielorussia,Belarus,
Location_Belgium,Belgium,比利时,Bỉ,Belgien,Bélgica,Belgique,Бельгия,Bélgica,Belgio,Belgium,Belçika
Location_Brazil,Brazil,巴西,Brazil,Brasilien,Brasil,Brésil,Бразилия,Brasil,Brasile,Brazil,
Location_Brunei,Brunei,文莱,Brunei,Brunei,Brunéi,Brunei,Бруней,Brunei,Brunei,Brunei,
Location_Bulgaria,Bulgaria,保加利亚,Bulgaria,Bulgarien,Bulgaria,Bulgarie,Болгария,Bulgária,Bulgaria,Bulgaria,
Location_Cambodia,Cambodia,柬埔寨,Campuchia,Kambodscha,Camboya,Cambodge,Камбоджа,Camboja,Cambogia,Cambodia,
Location_Canada,Canada,加拿大,Canada,Kanada,Canadá,Canada,Канада,Canadá,Canada,Canada,
Location_Chile,Chile,智利,Chile,Chile,Chile,Chili,Чили,Chile,Cile,Chile,
Location_China,China,中国,Trung Quốc,China,China,Chine,Китай,China,Cina,China,
Location_Colombia,Colombia,哥伦比亚,Colombia,Kolumbien,Colombia,Colombie,Колумбия,Colômbia,Colombia,Colombia,
Location_CostaRica,Costa Rica,哥斯达黎加,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Коста-Рика,Costa Rica,Costa Rica,Costa Rica,
Location_Croatia,Croatia,克罗地亚,Croatia,Kroatien,Croacia,Croatie,Хорватия,Croácia,Croazia,Croatia,
Location_Cuba,Cuba,古巴,Cuba,Kuba,Cuba,Cuba,Куба,Cuba,Cuba,Cuba,
Location_CzechRepublic,Czech Republic,捷克,Séc,Tschechische Republik,Rep. Checa,République tchèque,Чехия,República Tcheca,Repubblica Ceca,Czech Republic,
Location_Denmark,Denmark,丹麦,Đan Mạch,Dänemark,Dinamarca,Danemark,Дания,Dinamarca,Danimarca,Denmark,
Location_Ecuador,Ecuador,厄瓜多尔,Ecuador,Ecuador,Ecuador,Équateur,Эквадор,Equador,Ecuador,Ecuador,
Location_Egypt,Egypt,埃及,Ai Cập,Ägypten,Egipto,Égypte,Египет,Egito,Egitto,Egypt,
Location_Estonia,Estonia,爱沙尼亚,Estonia,Estland,Estonia,Estonie,Эстония,Estônia,Estonia,Estonia,
Location_Ethiopia,Ethiopia,埃塞俄比亚,Ethiopia,Äthiopien,Etiopía,Éthiopie,Эфиопия,Etiópia,Etiopia,Ethiopia,
Location_France,France,法国,Pháp,Frankreich,Francia,France,Франция,França,Francia,France,
Location_Finland,Finland,芬兰,Phần Lan,Finnland,Finlandia,Finlande,Финляндия,Finlândia,Finlandia,Finland,
